Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
3,Oak Brook,DuPage_IL,IL,87,55,10,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Renton,King_WA,WA,48.9,80,8,8.1,0,Overcast,TRUE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,50,89,6,9.2,0,Light Rain,FALSE,FALSE,FALSE,twilight
2,Miami,Miami-Dade_FL,FL,89.1,59,10,11.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,71.1,73,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Sacramento,Sacramento_CA,CA,88,35,10,14,0,Fair,FALSE,FALSE,TRUE,day
2,Sacramento,Sacramento_CA,CA,64.4,49,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Whittier,Los Angeles_CA,CA,73.4,57,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Hartford,Hartford_CT,CT,77,64,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Pflugerville,Travis_TX,TX,93,36,10,12,0,Fair,FALSE,FALSE,FALSE,day
2,Reading,Berks_PA,PA,37.9,86,10,6.9,0,Overcast,FALSE,FALSE,FALSE,twilight
3,Detroit,Wayne_MI,MI,61,93,6,3,0,Cloudy,FALSE,FALSE,FALSE,day
2,Newark,New Castle_DE,DE,62.1,34,10,17.3,0,Clear,FALSE,FALSE,FALSE,day
2,Dallastown,York_PA,PA,54,100,4,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Roseville,Placer_CA,CA,45,66,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Lakeview,Lake_OR,OR,56,57,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,54,83,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Fair Play,Oconee_SC,SC,37.9,39,10,6.9,0,Clear,FALSE,FALSE,FALSE,twilight
2,Long Beach,Los Angeles_CA,CA,59,58,10,16.1,0,Clear,FALSE,FALSE,FALSE,day
3,Tampa,Hillsborough_FL,FL,82.4,54,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,San Pablo,Contra Costa_CA,CA,43,56,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Elgin,Kane_IL,IL,50,48,10,4.6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
4,Sugar Grove,Fairfield_OH,OH,25,75,10,15,0,Overcast,FALSE,FALSE,FALSE,night
2,Phoenix,Maricopa_AZ,AZ,96.1,32,10,6.9,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Corona,Riverside_CA,CA,66,81,10,0,0,Overcast,FALSE,FALSE,FALSE,day
3,Atlanta,Fulton_GA,GA,84,55,10,11.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Anaheim,Orange_CA,CA,69.1,26,10,15,0,Clear,FALSE,FALSE,FALSE,day
2,Orlando,Orange_FL,FL,73.4,94,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,86,62,10,12,0,Fair,FALSE,FALSE,FALSE,day
2,Waukegan,Lake_IL,IL,78.1,84,9,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Canton,Norfolk_MA,MA,79,66,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Waxahachie,Ellis_TX,TX,68,32,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Burlingame,San Mateo_CA,CA,50,71,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,El Paso,El Paso_TX,TX,81,58,10,11.5,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Brookings,Curry_OR,OR,53.1,77,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,78.8,54,10,16.1,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Danvers,Essex_MA,MA,53.1,77,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Detroit,Wayne_MI,MI,61,90,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Norton,Bristol_MA,MA,33.1,54,10,13.8,0,Overcast,FALSE,FALSE,FALSE,day
3,Alhambra,Los Angeles_CA,CA,84,38,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,48.9,86,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,90,59,10,15,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Bridgeport,Fairfield_CT,CT,46,54,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Gonzales,Ascension_LA,LA,60,86,10,9,0,Cloudy,FALSE,FALSE,FALSE,twilight
2,Orlando,Orange_FL,FL,75,55,10,12.7,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Minneapolis,Anoka_MN,MN,19.4,80,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
2,California,Campbell_KY,KY,71.2,54,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Nashville,Davidson_TN,TN,28.9,82,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Atlanta,Fulton_GA,GA,78.1,48,10,9.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Powell,Delaware_OH,OH,69.1,84,10,9.2,0,Light Rain,FALSE,FALSE,FALSE,day
3,Amsterdam,Montgomery_NY,NY,32,100,1.5,6.9,0,Light Snow,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,43,82,10,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Middleburg,Clay_FL,FL,46.4,81,10,10.4,0,Overcast,FALSE,FALSE,TRUE,day
2,Detroit,Wayne_MI,MI,23,74,10,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Anaheim,Orange_CA,CA,71,70,10,0,0,Fair,FALSE,FALSE,FALSE,night
4,Chicago,Cook_IL,IL,71.1,93,10,5.8,0,Overcast,FALSE,FALSE,FALSE,night
2,Cumming,Forsyth_GA,GA,82.9,67,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,89.1,52,10,5.8,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Newhall,Los Angeles_CA,CA,50,100,1,6,0.18,Heavy Rain,FALSE,FALSE,FALSE,day
3,Milwaukee,Milwaukee_WI,WI,32,69,10,13.8,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Perris,Riverside_CA,CA,68,46,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,73.9,100,7,4.6,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Newhall,Los Angeles_CA,CA,90,19,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Clinton,Middlesex_CT,CT,35.6,70,10,8.1,0,Overcast,FALSE,FALSE,FALSE,day
3,New Albany,Floyd_IN,IN,42.1,100,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
3,Alhambra,Los Angeles_CA,CA,75,14,10,6.9,0,Clear,TRUE,FALSE,FALSE,day
2,Eyota,Olmsted_MN,MN,33.8,75,10,13.8,0,Clear,FALSE,FALSE,FALSE,twilight
2,Buffalo,Erie_NY,NY,84.9,53,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,72,73,10,17.3,0,Overcast,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,88,63,10,4.6,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Nashville,Davidson_TN,TN,75.9,87,9,10.4,0.02,Light Rain,FALSE,FALSE,FALSE,day
3,Brooklyn,Kings_NY,NY,48,24,10,8,0,Fair,FALSE,FALSE,FALSE,night
2,Troy,Rensselaer_NY,NY,79,42,10,5.8,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Miami,Miami-Dade_FL,FL,79,84,1,20.7,0,Heavy Rain,FALSE,FALSE,FALSE,day
2,Irving,Dallas_TX,TX,75,96,10,9.2,0,Overcast,FALSE,FALSE,TRUE,day
2,Mission Viejo,Orange_CA,CA,72,57,5,6,0,Fair,FALSE,FALSE,FALSE,day
2,Webster,Monroe_NY,NY,30,59,10,24.2,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,66,48,10,7,0,Fair,FALSE,FALSE,FALSE,night
2,Kissimmee,Osceola_FL,FL,88,61,10,8.1,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Baton Rouge,East Baton Rouge_LA,LA,55.9,100,7,9.2,0.07,Light Rain,FALSE,FALSE,FALSE,day
2,Rochester,Monroe_NY,NY,59,96,10,3.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Norristown,Montgomery_PA,PA,39.2,93,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,41,70,10,20.7,0,Overcast,FALSE,FALSE,FALSE,day
2,Hayward,Alameda_CA,CA,66,63,10,8.1,0,Clear,TRUE,FALSE,FALSE,day
2,Bellevue,Sarpy_NE,NE,26.6,100,10,21.9,0,Light Snow,FALSE,FALSE,TRUE,night
2,Danvers,Essex_MA,MA,33.1,54,10,12.7,0,Mostly Cloudy,FALSE,FALSE,TRUE,night
2,Houston,Harris_TX,TX,71.6,88,10,5.8,0,Clear,FALSE,FALSE,FALSE,twilight
3,San Jose,Santa Clara_CA,CA,87.8,29,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
3,Denver,Denver_CO,CO,59,14,20,17.3,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,54.5,47,10,17.3,0,Clear,FALSE,FALSE,FALSE,night
3,Kearny,Hudson_NJ,NJ,79,54,10,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Clinton,Laurens_SC,SC,75,94,5,5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Pleasanton,Alameda_CA,CA,54,75,10,10,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Pomona,Los Angeles_CA,CA,90,14,10,8,0,Fair,FALSE,FALSE,FALSE,day
3,Orlando,Orange_FL,FL,59,31,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Mesa,Maricopa_AZ,AZ,98.6,15,40,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,91.4,52,7,0,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Denver,Denver_CO,CO,41,31,50,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Tulsa,Tulsa_OK,OK,84,67,10,8.1,0,Clear,FALSE,FALSE,TRUE,day
2,Morgantown,Lancaster_PA,PA,80.6,70,10,3.5,0,Clear,FALSE,TRUE,FALSE,day
2,Meriden,New Haven_CT,CT,66.9,84,10,10.4,0,Overcast,TRUE,FALSE,FALSE,day
2,Dillon,Dillon_SC,SC,79,83,10,7,0,Fair,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,56,60,10,21,0,Mostly Cloudy / Windy,FALSE,FALSE,FALSE,twilight
3,Tulsa,Tulsa_OK,OK,39.9,70,10,12.7,0,Overcast,FALSE,FALSE,FALSE,night
2,Hampton,Rockingham_NH,NH,80.4,57,10,6.9,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Jacksonville,Duval_FL,FL,75,87,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
3,Jacksonville,Duval_FL,FL,89.1,57,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Oakland,Alameda_CA,CA,64.9,78,10,20.7,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Pedricktown,Salem_NJ,NJ,57,57,10,8.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Lafayette,Lafayette_LA,LA,83,65,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,Atlanta,Fulton_GA,GA,63,41,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Kissimmee,Osceola_FL,FL,68,90,10,0,0,Clear,FALSE,FALSE,FALSE,night
2,Roma,Starr_TX,TX,75.6,86,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Lodi,San Joaquin_CA,CA,57.9,72,9,4.6,0,Light Rain,FALSE,FALSE,FALSE,day
2,Cromwell,Middlesex_CT,CT,75.9,85,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
4,Colorado Springs,El Paso_CO,CO,39,46,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,White,Bartow_GA,GA,75,38,10,12.7,0,Clear,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,73.9,62,10,4.6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Peoria,Maricopa_AZ,AZ,77,26,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,West Columbia,Lexington_SC,SC,84,69,10,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Camden,Kershaw_SC,SC,89.6,52,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,78,54,10,7,0,Fair,FALSE,FALSE,FALSE,day
2,Dallas,Dallas_TX,TX,91.4,49,10,11.5,0,Scattered Clouds,FALSE,FALSE,TRUE,day
3,Christiansburg,Montgomery_VA,VA,80,70,10,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Austin,Williamson_TX,TX,91.9,50,10,0,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Orlando,Orange_FL,FL,81,72,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Lexington,Lexington_SC,SC,95,40,10,6.9,0,Scattered Clouds,TRUE,FALSE,FALSE,day
3,Spartanburg,Spartanburg_SC,SC,46.4,50,10,8.1,0,Overcast,FALSE,FALSE,FALSE,day
2,Oklahoma City,Oklahoma_OK,OK,93,44,10,15,0,Fair,FALSE,FALSE,FALSE,day
2,Tualatin,Washington_OR,OR,39,89,1.8,3.5,0,Shallow Fog,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,91.4,59,10,16.1,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Irvine,Orange_CA,CA,73,15,10,5.8,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Arvin,Kern_CA,CA,43,74,10,7,0,Partly Cloudy,FALSE,FALSE,FALSE,night
4,Atlanta,Fulton_GA,GA,82.9,44,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Garden Grove,Orange_CA,CA,67,61,10,13,0,Fair,FALSE,FALSE,FALSE,day
2,Sherman Oaks,Los Angeles_CA,CA,74,66,10,5,0,Partly Cloudy,TRUE,FALSE,FALSE,night
2,San Antonio,Bexar_TX,TX,90,48,10,8.1,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Lake Dallas,Denton_TX,TX,64,33,10,13,0,Fair,FALSE,FALSE,FALSE,day
2,Hialeah,Miami-Dade_FL,FL,75.9,91,10,5.8,0,Clear,FALSE,FALSE,FALSE,night
3,Windsor,Hartford_CT,CT,43,93,5,4.6,0,Overcast,FALSE,FALSE,FALSE,day
3,Seattle,King_WA,WA,28,72,10,9.2,0,Overcast,TRUE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,64.9,50,10,0,0,Clear,TRUE,FALSE,FALSE,day
4,Lockport,Niagara_NY,NY,32,75,10,9.2,0,Overcast,FALSE,FALSE,TRUE,night
2,Myrtle Beach,Horry_SC,SC,53.1,61,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Pioneer,Amador_CA,CA,95,12,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Onalaska,La Crosse_WI,WI,46.9,68,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
3,Chicago,Cook_IL,IL,42.1,89,3,8.1,0,Light Rain,FALSE,FALSE,FALSE,day
3,Covington,Kenton_KY,KY,52,100,1,3.5,0.04,Light Rain,FALSE,TRUE,FALSE,night
2,El Sobrante,Contra Costa_CA,CA,46,89,9,3,0,Cloudy,FALSE,FALSE,FALSE,night
3,Hazel Park,Oakland_MI,MI,87.1,46,10,12.7,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Santa Barbara,Santa Barbara_CA,CA,51.1,96,8,0,0,Clear,FALSE,FALSE,FALSE,night
2,Woodbury,Gloucester_NJ,NJ,76,79,10,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Orange,Orange_CA,CA,82,47,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Port Wentworth,Chatham_GA,GA,81,60,10,3,0,Fair,FALSE,FALSE,FALSE,day
2,Lutz,Pasco_FL,FL,64.4,94,0.2,0,0,Fog,FALSE,FALSE,TRUE,twilight
2,Elmsford,Westchester_NY,NY,54,77,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,72.7,24,10,3.5,0,Clear,FALSE,FALSE,TRUE,twilight
2,Houston,Harris_TX,TX,88,72,9,12,0,Partly Cloudy,FALSE,FALSE,FALSE,twilight
3,Miami,Miami-Dade_FL,FL,89.1,63,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Frederick,Frederick_MD,MD,33.8,87,10,0,0,Clear,FALSE,FALSE,FALSE,night
3,Perdido,Baldwin_AL,AL,60.1,51,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,San Antonio,Bexar_TX,TX,46,87,10,16,0,Cloudy,FALSE,FALSE,TRUE,day
4,Calexico,Imperial_CA,CA,63,33,10,6.9,0,Clear,FALSE,FALSE,FALSE,night
2,Ladson,Charleston_SC,SC,87,55,10,8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Lawrenceville,Gwinnett_GA,GA,46.4,87,10,4.6,0,Clear,FALSE,FALSE,TRUE,day
2,Averill Park,Rensselaer_NY,NY,43,86,9,0,0,Cloudy,FALSE,FALSE,FALSE,twilight
3,Norfolk,Norfolk_VA,VA,60,72,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,68,94,5,4.6,0,Overcast,FALSE,FALSE,TRUE,twilight
3,Staten Island,Richmond_NY,NY,89.1,39,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Downey,Los Angeles_CA,CA,72,68,10,8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Plant City,Hillsborough_FL,FL,69.8,35,10,12.7,0,Clear,FALSE,FALSE,TRUE,day
2,Riverside,Riverside_CA,CA,95,29,10,6.9,0,Clear,FALSE,FALSE,FALSE,day
3,Oakland,Alameda_CA,CA,62.1,86,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,Nashville,Davidson_TN,TN,59,81,10,6.9,0,Overcast,FALSE,FALSE,FALSE,day
3,Pittsburgh,Allegheny_PA,PA,60.1,96,10,3.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Corpus Christi,Nueces_TX,TX,79.3,91,10,5.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Glenside,Montgomery_PA,PA,78.8,30,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
2,Seattle,King_WA,WA,59,100,6,8.1,0.07,Light Rain,FALSE,FALSE,TRUE,twilight
2,Blenheim,Marlboro_SC,SC,50,100,7,0,0,Fair,FALSE,FALSE,FALSE,day
2,Fort Myers,Lee_FL,FL,79,42,10,9.2,0,Clear,FALSE,FALSE,TRUE,day
2,Los Banos,Merced_CA,CA,66,38,10,5.8,0,Clear,FALSE,FALSE,FALSE,night
3,Somerset,Somerset_NJ,NJ,53.1,96,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Stratford,Fairfield_CT,CT,72,93,4,18.4,0.49,Rain,FALSE,FALSE,FALSE,day
2,Corona,Riverside_CA,CA,81,52,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Houma,Terrebonne_LA,LA,68,46,7,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,69.1,61,10,13.8,0,Scattered Clouds,FALSE,TRUE,FALSE,day
2,Yukon,Canadian_OK,OK,69.8,94,6,0,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Lake Dallas,Denton_TX,TX,50,63,10,10.4,0,Overcast,FALSE,FALSE,FALSE,day
3,New Cumberland,Cumberland_PA,PA,50,83,10,8,0,Fair,FALSE,FALSE,FALSE,day
2,Detroit,Wayne_MI,MI,60.1,100,7,11.5,0.08,Light Rain,TRUE,FALSE,FALSE,night
2,Red Wing,Goodhue_MN,MN,84.2,40,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
